Time[s], RIGHT, LEFT, BACK, FWD, SO
3.877814, 1, 1, 1, 0, 0
3.878144, 1, 1, 1, 0, 1
3.878477, 1, 1, 1, 0, 0
3.878808, 1, 1, 1, 0, 1
3.879141, 1, 1, 1, 0, 0
3.879471, 1, 1, 1, 0, 1
3.879804, 1, 1, 1, 0, 0
3.880135, 1, 1, 1, 0, 1
3.880468, 1, 1, 1, 0, 0
3.880798, 1, 1, 1, 0, 1
3.881798, 1, 1, 1, 0, 0
3.882128, 1, 1, 1, 0, 1
3.883128, 1, 1, 1, 0, 0
3.883458, 1, 1, 1, 0, 1
3.884458, 1, 1, 1, 0, 0
3.884788, 1, 1, 1, 0, 1
3.885788, 1, 1, 1, 0, 0
3.886118, 1, 1, 1, 0, 1
3.886451, 1, 1, 1, 0, 0
3.886782, 1, 1, 1, 0, 1
3.887115, 1, 1, 1, 0, 0
3.887445, 1, 1, 1, 0, 1
3.887778, 1, 1, 1, 0, 0
3.888109, 1, 1, 1, 0, 1
3.888442, 1, 1, 1, 0, 0
3.888772, 1, 1, 1, 0, 1
3.889105, 1, 1, 1, 0, 0
3.889436, 1, 1, 1, 0, 1
3.889769, 1, 1, 1, 0, 0
3.890099, 1, 1, 1, 0, 1
3.890432, 1, 1, 1, 0, 0
3.890763, 1, 1, 1, 0, 1
3.891096, 1, 1, 1, 0, 0
3.891426, 1, 1, 1, 0, 1
3.891759, 1, 1, 1, 0, 0
3.89209, 1, 1, 1, 0, 1
3.892423, 1, 1, 1, 0, 0
3.892753, 1, 1, 1, 0, 1
3.893752, 1, 1, 1, 0, 0
3.894083, 1, 1, 1, 0, 1
3.895082, 1, 1, 1, 0, 0
3.895412, 1, 1, 1, 0, 1
3.896412, 1, 1, 1, 0, 0
3.896742, 1, 1, 1, 0, 1
3.897741, 1, 1, 1, 0, 0
3.898072, 1, 1, 1, 0, 1
3.898405, 1, 1, 1, 0, 0
3.898735, 1, 1, 1, 0, 1
3.899068, 1, 1, 1, 0, 0
3.899399, 1, 1, 1, 0, 1
3.899732, 1, 1, 1, 0, 0
3.900062, 1, 1, 1, 0, 1
3.900395, 1, 1, 1, 0, 0
3.900725, 1, 1, 1, 0, 1
3.901059, 1, 1, 1, 0, 0
3.901389, 1, 1, 1, 0, 1
